更新时间: 2026-01-31 03:33:09（北京时间）

更新时间,#genre#
2026-01-31 03:33:09,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
CCTV5,http://183.220.107.138:4022/rtp/239.11.0.66:5140$四川移动
CCTV5,http://183.220.107.138:4022/rtp/239.10.0.200:5140$四川移动
CCTV5,http://183.220.107.138:4022/rtp/239.11.0.100:5140$四川移动
CCTV5,http://183.220.107.138:4022/rtp/239.11.0.236:5140$四川移动
CCTV5,http://120.41.66.7:18888/rtp/239.61.3.35:9728$福建省电信_result_ip
CCTV5,http://180.105.184.135:4000/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://180.105.184.135:4000/rtp/239.49.1.5:6000$江苏电信
CCTV5,http://124.78.12.70:8686/rtp/233.18.204.71:5140$上海市电信_result_ip
CCTV5,http://124.78.12.70:8686/rtp/233.18.204.24:5140$上海市电信_result_ip
CCTV5,http://114.95.80.29:9001/rtp/233.18.204.71:5140$上海市电信_result_ip
CCTV5,http://114.95.80.29:9001/rtp/233.18.204.24:5140$上海市电信_result_ip
CCTV5,http://120.41.66.7:18889/rtp/239.61.3.35:9728$福建省电信_result_ip
CCTV5,http://114.233.64.19:4022/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://114.233.64.19:4022/rtp/239.49.1.5:6000$江苏电信
CCTV5+,http://123.117.161.44:8118/rtp/239.3.1.130:8004$北京市联通
CCTV5+,http://111.193.239.94:8888/rtp/239.3.1.130:8004$北京市联通
CCTV5+,http://115.171.216.188:4000/rtp/225.1.8.20:8004$北京市电信_result_ip
CCTV5+,http://116.233.38.8:8888/rtp/233.18.204.67:5140$上海市电信_result_ip
CCTV5+,http://113.205.140.92:4022/rtp/235.254.198.122:1764$重庆市电信
CCTV5+,http://123.181.151.232:7000/rtp/239.254.200.46:8004$河北省电信
CCTV5+,http://115.171.216.84:4000/rtp/225.1.8.20:8004$北京市电信_result_ip
CCTV5+,http://183.220.107.138:4022/rtp/239.11.0.241:5140$四川移动
CCTV5+,http://120.41.66.7:18888/rtp/239.61.2.171:9014$福建省电信_result_ip
CCTV5+,http://180.105.184.135:4000/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://124.78.12.70:8686/rtp/233.18.204.67:5140$上海市电信_result_ip
CCTV5+,http://114.95.80.29:9001/rtp/233.18.204.67:5140$上海市电信_result_ip
